Countries and areas                             Afghanistan
Latitude                                        33.93911
Longitude                                       67.709953
OOSR_Pre0Primary_Age_Male                       0
OOSR_Pre0Primary_Age_Female                     0
OOSR_Primary_Age_Male                           0
OOSR_Primary_Age_Female                         0
OOSR_Lower_Secondary_Age_Male                   0
OOSR_Lower_Secondary_Age_Female                 0
OOSR_Upper_Secondary_Age_Male                   44
OOSR_Upper_Secondary_Age_Female                 69
Completion_Rate_Primary_Male                    67
Completion_Rate_Primary_Female                  40
Completion_Rate_Lower_Secondary_Male            49
Completion_Rate_Lower_Secondary_Female          26
Completion_Rate_Upper_Secondary_Male            32
Completion_Rate_Upper_Secondary_Female          14
Grade_2_3_Proficiency_Reading                   22
Grade_2_3_Proficiency_Math                      25
Primary_End_Proficiency_Reading                 13
Primary_End_Proficiency_Math                    11
Lower_Secondary_End_Proficiency_Reading         0
Lower_Secondary_End_Proficiency_Math            0
Youth_15_24_Literacy_Rate_Male                  74
Youth_15_24_Literacy_Rate_Female                56
Birth_Rate                                      32.49
Gross_Primary_Education_Enrollment              104
Gross_Tertiary_Education_Enrollment             9.7
Unemployment_Rate                               11.12
